UR,SR,p,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
"[L L]"
,[L L1],0
,,,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0
,,,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],1
,,,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0
,,,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0
,,,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],0
,,,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0
,,,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],1
,,,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0
,,,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],1
,,,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0
,,,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0
,,,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],1
,,,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],0
,,,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],0
,,,"[H (H1)]",1,1,0,1,0,1,0,1,0,1,0,1
,,,"[(H H1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 H],0
,,,"[(H1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,"[(H1) H]",1,1,0,1,0,0,1,0,1,0,1,0
"[L L L]"
,[L2 L1 L2],0
,,,"[(L2) (L1) (L2)]",0,3,0,0,3,0,0,1,1,3,3,1
,[L L1 L2],0
,,,"[L (L1) (L2)]",0,2,0,1,2,1,0,1,1,3,1,1
,,,"[(L L1) (L2)]",0,2,0,0,1,0,0,0,1,2,1,1
,[L1 L L2],0
,,,"[(L1) (L L2)]",0,2,0,0,1,0,0,0,2,1,2,1
,,,"[(L1 L) (L2)]",0,1,1,0,1,0,0,0,1,2,1,1
,,,"[(L1) L (L2)]",0,2,0,1,2,0,0,0,2,2,2,1
,[L L L1],0
,,,"[L (L L1)]",0,1,0,1,0,1,0,1,0,1,0,1
,,,"[L L (L1)]",0,1,0,2,1,1,0,2,0,2,0,1
,[L2 L1 L],0
,,,"[(L2) (L1 L)]",0,1,1,0,1,0,0,1,0,1,2,1
,,,"[(L2) (L1) L]",0,2,0,1,2,0,1,1,1,1,3,0
,[L L1 L],1
,,,"[L (L1 L)]",0,0,1,1,0,1,0,1,0,1,0,1
,,,"[L (L1) L]",0,1,0,2,1,1,1,1,1,1,1,0
,,,"[(L L1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[L2 L2 L1],0
,,,"[(L2) (L2) (L1)]",0,3,0,0,3,0,0,2,0,3,3,1
,[L1 L L],0
,,,"[(L1) L L]",0,1,0,2,1,0,1,0,2,0,2,0
,,,"[(L1 L) L]",0,0,1,1,0,0,1,0,1,0,1,0
,[L2 L L1],0
,,,"[(L2 L) (L1)]",0,1,1,0,1,0,0,2,0,2,1,1
,,,"[(L2) (L L1)]",0,2,0,0,1,0,0,1,0,1,2,1
,,,"[(L2) L (L1)]",0,2,0,1,2,0,0,2,0,2,2,1
,[L1 L2 L],0
,,,"[(L1) (L2) L]",0,2,0,1,2,0,1,0,2,1,3,0
,,,"[(L1) (L2 L)]",0,1,1,0,1,0,0,0,2,1,2,1
,[L L2 L1],0
,,,"[L (L2) (L1)]",0,2,0,1,2,1,0,2,0,3,1,1
,,,"[(L L2) (L1)]",0,2,0,0,1,0,0,2,0,2,1,1
,[L1 L2 L2],0
,,,"[(L1) (L2) (L2)]",0,3,0,0,3,0,0,0,2,3,3,1
"[L L H]"
,[L2 L1 H2],0
,,,"[(L2) (L1) (H2)]",0,3,0,0,2,0,0,1,1,3,3,1
,[L2 L2 H1],0
,,,"[(L2) (L2) (H1)]",0,3,0,0,2,0,0,2,0,3,3,1
,[L1 L2 H],0
,,,"[(L1) (L2) H]",1,2,0,1,2,0,1,0,2,1,3,0
,,,"[(L1) (L2 H)]",1,1,1,0,1,0,0,0,2,1,2,1
,[L L2 H1],0
,,,"[L (L2) (H1)]",0,2,0,1,1,1,0,2,0,3,1,1
,,,"[(L L2) (H1)]",0,2,0,0,0,0,0,2,0,2,1,1
,[L1 L H],0
,,,"[(L1 L) H]",1,0,1,1,0,0,1,0,1,0,1,0
,,,"[(L1) L H]",1,1,0,2,1,0,1,0,2,0,2,0
,[L2 L1 H],0
,,,"[(L2) (L1 H)]",1,1,1,0,1,0,0,1,0,1,2,1
,,,"[(L2) (L1) H]",1,2,0,1,2,0,1,1,1,1,3,0
,[L L1 H2],0
,,,"[(L L1) (H2)]",0,2,0,0,0,0,0,0,1,2,1,1
,,,"[L (L1) (H2)]",0,2,0,1,1,1,0,1,1,3,1,1
,[L2 L H1],1
,,,"[(L2 L) (H1)]",0,1,1,0,0,0,0,2,0,2,1,1
,,,"[(L2) L (H1)]",0,2,0,1,1,0,0,2,0,2,2,1
,,,"[(L2) (L H1)]",0,2,0,0,1,0,0,1,0,1,2,1
,[L L H1],0
,,,"[L L (H1)]",0,1,0,2,0,1,0,2,0,2,0,1
