UR,SR,p_TD,p_LE,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,0.0,34.034626486002665,0.26056465662391276,10.527281738555748,2.7575503068953813,2.156198213724168,0.0,0.29765535637628127,19.346937545483854,5.371695203986565,0.0,48.039622951057,
"[L L]"
,[L L1],0
,,,2.352868855854137e-26,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,3.4651307136072073e-17,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0
,,,7.967530183579515e-37,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],1
,,,1.7031986893568765e-10,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,0.01612903208774461,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0
,,,4.249380087295014e-45,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0
,,,1.2557772160378603e-35,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],1
,,,0.016129032087744615,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,1.7031986893568767e-10,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0
,,,6.697526803108592e-44,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],0
,,,3.465130713607208e-17,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,3.708400261345814e-25,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0
,,,2.352868489099261e-26,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,3.465130173477832e-17,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],1
,,,0.016129029573621844,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,2.68444263881821e-09,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0
,,,1.2557770202928162e-35,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0
,,,6.697525759127492e-44,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],0
,,,1.9792534627075053e-34,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],0
,,,1.0556094621985361e-42,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],0
,,,3.7083996832966477e-25,"[H (H1)]",1,1,0,1,0,1,0,1,0,1,0,1
,,,3.465130173477832e-17,"[(H H1)]",1,1,0,0,0,0,0,0,0,0,0,1
