UR,HR,p_TD,p_normed,p_absolute,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,1.0228216077925745,3.3992118741334885,41.781677205085415,27.372923955559084,31.230415524456923,9.257774435264926,11.263409010114875,66.36622258125323,0.0,8.138369748636869,0.0,58.482058087357125,
"[L L]","[(L L1)]",1,0.999988631927287,0.016128848902053017,0,1,0,0,0,0,0,0,0,0,0,1
"[L H]","[(L H1)]",1,0.9999959122509678,0.016128966326628514,0,1,0,0,0,0,0,0,0,0,0,1
"[H L]","[(H1) L]",1,0.9999999991352206,0.01612903224411646,0,1,0,1,0,0,1,0,1,0,1,0
"[H H]","[(H1) H]",1,0.9999999975949568,0.016129032219273497,1,1,0,1,0,0,1,0,1,0,1,0
"[L L L]","[(L L1) L]",1,1.0,0.016129032258064516,0,1,0,1,0,0,1,0,1,0,1,0
"[L L H]","[(L L1) H]",1,1.0,0.016129032258064516,1,1,0,1,0,0,1,0,1,0,1,0
"[L H L]","[(L H1) L]",1,1.0,0.016129032258064516,0,1,0,1,0,0,1,0,1,0,1,0
"[L H H]","[(L H1) H]",1,1.0,0.016129032258064516,1,1,0,1,0,0,1,0,1,0,1,0
"[H L L]","[(H L1) L]",1,0.9999999999963348,0.0161290322580054,1,1,0,1,0,0,1,0,1,0,1,0
"[H L H]","[(H L1) H]",1,0.9999999999962185,0.016129032258003526,2,1,0,1,0,0,1,0,1,0,1,0
"[H H L]","[(H H1) L]",1,0.9999728677391017,0.016128594640953252,1,1,0,1,0,0,1,0,1,0,1,0
"[H H H]","[(H H1) H]",1,0.9999728677390599,0.01612859464095258,2,1,0,1,0,0,1,0,1,0,1,0
"[L L L L]","[(L L1) L L]",1,0.999994498931119,0.01612894353114708,0,1,0,2,0,0,1,0,2,0,2,0
"[L L L H]","[(L L1) L H]",1,0.9999850686131097,0.016128791429243703,1,1,0,2,0,0,1,0,2,0,2,0
"[L L H L]","[(L L1) (H2) L]",1,0.9998367049110674,0.016126398466307538,0,2,0,1,0,0,1,0,2,2,3,0
"[L L H H]","[(L L1) (H2) H]",1,0.9998367033713716,0.01612639844147374,1,2,0,1,0,0,1,0,2,2,3,0
"[L H L L]","[(L H1) L L]",1,0.9999946308981859,0.016128945659648158,0,1,0,2,0,0,1,0,2,0,2,0
"[L H L H]","[(L H1) L H]",1,0.9999852005776876,0.01612879355770464,1,1,0,2,0,0,1,0,2,0,2,0
"[L H H L]","[(L H1) (H2) L]",1,0.9998367049709881,0.016126398467273997,0,2,0,1,0,0,1,0,2,2,3,0
"[L H H H]","[(L H1) (H2) H]",1,0.9998367034312924,0.0161263984424402,1,2,0,1,0,0,1,0,2,2,3,0
"[H L L L]","[(H1) (L L2) L]",1,0.9999999522916162,0.016129031488574454,0,2,0,1,0,0,1,0,3,1,4,0
"[H L L H]","[(H1) (L L2) H]",1,0.9999999522911663,0.0161290314885672,1,2,0,1,0,0,1,0,3,1,4,0
"[H L H L]","[(H1) (L H2) L]",1,0.9998949561942739,0.016127338003133453,0,2,0,1,0,0,1,0,3,1,4,0
