Language,Successful?
1,10
10,9
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,9
109,10
11,10
110,10
111,10
112,10
113,8
114,10
115,10
116,9
117,10
118,4
119,2
12,10
120,10
121,2
122,10
123,7
124,10
13,10
14,10
15,9
16,10
17,10
18,10
19,9
2,10
20,10
21,10
22,10
23,6
24,10
25,9
26,9
27,10
28,10
29,10
3,10
30,10
31,10
32,10
33,9
34,10
35,10
36,10
37,9
38,10
39,10
4,10
40,9
41,8
42,9
43,10
44,4
45,5
46,10
47,10
48,10
49,7
5,10
50,10
51,5
52,1
53,10
54,10
55,10
56,5
57,8
58,10
59,4
6,10
60,8
61,9
62,10
63,9
64,10
65,10
66,9
67,10
68,10
69,10
7,9
70,9
71,10
72,10
73,10
74,9
75,0
76,0
77,9
78,10
79,0
8,10
80,10
81,10
82,9
83,9
84,10
85,10
86,10
87,10
88,10
89,10
9,10
90,10
91,10
92,10
93,7
94,10
95,10
96,10
97,10
98,10
99,10
