UR,HR,p_TD,p_normed,p_absolute,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,0.0,1.4099792881438158,27.92965648050105,15.942360157819811,0.0,9.03365188864263,48.38000690862919,16.45325324227381,0.0,14.152891696784732,4.919297857903711,0.0,
"[L L]","[(L L1)]",1,0.9999999987243171,0.016129032237488985,0,1,0,0,0,0,0,0,0,0,0,1
"[L H]","[(L H1)]",1,0.9999999987243171,0.016129032237488985,0,1,0,0,0,0,0,0,0,0,0,1
"[H L]","[(H L1)]",1,0.9999999987243171,0.016129032237488985,1,1,0,0,0,0,0,0,0,0,0,1
"[H H]","[(H H1)]",1,0.9999999987243171,0.016129032237488985,1,1,0,0,0,0,0,0,0,0,0,1
"[L L L]","[(L1) (L L2)]",1,0.9999022365517405,0.016127455428253876,0,2,0,0,1,0,0,0,2,1,2,1
"[L L H]","[(L1) (L H2)]",1,0.9999022365517405,0.016127455428253876,0,2,0,0,1,0,0,0,2,1,2,1
"[L H L]","[(L1) (H L2)]",1,0.9999022365517405,0.016127455428253876,1,2,0,0,1,0,0,0,2,1,2,1
"[L H H]","[(L1) (H H2)]",1,0.9999022365517405,0.016127455428253876,1,2,0,0,1,0,0,0,2,1,2,1
"[H L L]","[(H1) (L L2)]",1,0.9999022365517403,0.016127455428253876,0,2,0,0,0,0,0,0,2,1,2,1
"[H L H]","[(H1) (L H2)]",1,0.9999022365517405,0.01612745542825388,0,2,0,0,0,0,0,0,2,1,2,1
"[H H L]","[(H1) (H L2)]",1,0.9999022365517403,0.016127455428253876,1,2,0,0,0,0,0,0,2,1,2,1
"[H H H]","[(H1) (H H2)]",1,0.9999022365517405,0.016127455428253876,1,2,0,0,0,0,0,0,2,1,2,1
"[L L L L]","[(L L1) (L L2)]",1,0.999999999123008,0.01612903224391948,0,2,0,0,0,0,0,0,2,2,2,1
"[L L L H]","[(L L1) (L H2)]",1,0.9999999991230077,0.016129032243919483,0,2,0,0,0,0,0,0,2,2,2,1
"[L L H L]","[(L L1) (H L2)]",1,0.9999999991230077,0.016129032243919483,1,2,0,0,0,0,0,0,2,2,2,1
"[L L H H]","[(L L1) (H H2)]",1,0.9999999991230077,0.016129032243919483,1,2,0,0,0,0,0,0,2,2,2,1
"[L H L L]","[(L H1) (L L2)]",1,0.9999999991230077,0.016129032243919483,0,2,0,0,0,0,0,0,2,2,2,1
"[L H L H]","[(L H1) (L H2)]",1,0.999999999123008,0.016129032243919483,0,2,0,0,0,0,0,0,2,2,2,1
"[L H H L]","[(L H1) (H L2)]",1,0.999999999123008,0.016129032243919483,1,2,0,0,0,0,0,0,2,2,2,1
"[L H H H]","[(L H1) (H H2)]",1,0.999999999123008,0.016129032243919483,1,2,0,0,0,0,0,0,2,2,2,1
"[H L L L]","[(H L1) (L L2)]",1,0.999999999123008,0.016129032243919483,1,2,0,0,0,0,0,0,2,2,2,1
"[H L L H]","[(H L1) (L H2)]",1,0.9999999991230077,0.016129032243919483,1,2,0,0,0,0,0,0,2,2,2,1
"[H L H L]","[(H L1) (H L2)]",1,0.999999999123008,0.016129032243919483,2,2,0,0,0,0,0,0,2,2,2,1
"[H L H H]","[(H L1) (H H2)]",1,0.999999999123008,0.016129032243919483,2,2,0,0,0,0,0,0,2,2,2,1
"[H H L L]","[(H H1) (L L2)]",1,0.999999999123008,0.016129032243919483,1,2,0,0,0,0,0,0,2,2,2,1
"[H H L H]","[(H H1) (L H2)]",1,0.999999999123008,0.016129032243919483,1,2,0,0,0,0,0,0,2,2,2,1
"[H H H L]","[(H H1) (H L2)]",1,0.999999999123008,0.016129032243919483,2,2,0,0,0,0,0,0,2,2,2,1
"[H H H H]","[(H H1) (H H2)]",1,0.999999999123008,0.016129032243919483,2,2,0,0,0,0,0,0,2,2,2,1
"[L L L L L]","[(L L1) L (L L2)]",1,0.9999994295092481,0.016129023056600775,0,2,0,1,0,0,0,0,3,3,3,1
"[L L L L H]","[(L L1) L (L H2)]",1,0.9999994295092481,0.016129023056600775,0,2,0,1,0,0,0,0,3,3,3,1
"[L L L H L]","[(L L1) L (H L2)]",1,0.9999994295092481,0.016129023056600775,1,2,0,1,0,0,0,0,3,3,3,1
"[L L L H H]","[(L L1) L (H H2)]",1,0.9999994295092481,0.016129023056600775,1,2,0,1,0,0,0,0,3,3,3,1
"[L L H L L]","[(L L1) H (L L2)]",1,0.9999994295092481,0.016129023056600775,1,2,0,1,0,0,0,0,3,3,3,1
"[L L H L H]","[(L L1) H (L H2)]",1,0.9999994295092481,0.016129023056600775,1,2,0,1,0,0,0,0,3,3,3,1
"[L L H H L]","[(L L1) H (H L2)]",1,0.9999994295092481,0.016129023056600772,2,2,0,1,0,0,0,0,3,3,3,1
"[L L H H H]","[(L L1) H (H H2)]",1,0.9999994295092479,0.016129023056600775,2,2,0,1,0,0,0,0,3,3,3,1
"[L H L L L]","[(L H1) L (L L2)]",1,0.9999994295092481,0.016129023056600775,0,2,0,1,0,0,0,0,3,3,3,1
"[L H L L H]","[(L H1) L (L H2)]",1,0.9999994295092481,0.016129023056600772,0,2,0,1,0,0,0,0,3,3,3,1
"[L H L H L]","[(L H1) L (H L2)]",1,0.9999994295092479,0.016129023056600775,1,2,0,1,0,0,0,0,3,3,3,1
"[L H L H H]","[(L H1) L (H H2)]",1,0.9999994295092481,0.016129023056600775,1,2,0,1,0,0,0,0,3,3,3,1
"[L H H L L]","[(L H1) H (L L2)]",1,0.9999994295092477,0.016129023056600775,1,2,0,1,0,0,0,0,3,3,3,1
"[L H H L H]","[(L H1) H (L H2)]",1,0.9999994295092481,0.016129023056600775,1,2,0,1,0,0,0,0,3,3,3,1
"[L H H H L]","[(L H1) H (H L2)]",1,0.9999994295092479,0.016129023056600775,2,2,0,1,0,0,0,0,3,3,3,1
"[L H H H H]","[(L H1) H (H H2)]",1,0.9999994295092481,0.016129023056600775,2,2,0,1,0,0,0,0,3,3,3,1
"[H L L L L]","[(H L1) L (L L2)]",1,0.9999994295092479,0.016129023056600775,1,2,0,1,0,0,0,0,3,3,3,1
"[H L L L H]","[(H L1) L (L H2)]",1,0.9999994295092479,0.016129023056600775,1,2,0,1,0,0,0,0,3,3,3,1
