UR,SR,p_TD,p_LE,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,0.0,33.5223413852,0.0,11.3728383502,5.27669872826,17.2072747897,21.8032580023,7.35600965788,0.363747377973,6.68681682185,0.0,2.40864843175,
"[L L]"
,[L L1],0
,,,7.02250095237e-38,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,4.45697734394e-17,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0
,,,2.56134577609e-42,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],1
,,,6.87532057526e-33,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,0.0161290322581,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0
,,,2.78720643118e-39,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0
,,,5.01313444112e-40,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],1
,,,0.0161290322581,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,6.87532057526e-33,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0
,,,5.45519495459e-37,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],0
,,,4.45697734394e-17,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,1.37446266396e-35,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0
,,,7.02250095237e-38,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,4.45697734394e-17,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],1
,,,0.0161290322581,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,1.345656127e-30,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0
,,,5.01313444112e-40,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0
,,,5.45519495459e-37,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],0
,,,9.81184077503e-38,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],0
,,,1.06770534323e-34,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],0
,,,1.37446266396e-35,"[H (H1)]",1,1,0,1,0,1,0,1,0,1,0,1
,,,4.45697734394e-17,"[(H H1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 H],1
,,,0.0161290322581,"[(H1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,1.345656127e-30,"[(H1) H]",1,1,0,1,0,0,1,0,1,0,1,0
"[L L L]"
,[L2 L1 L2],0
,,,1.29506685343e-51,"[(L2) (L1) (L2)]",0,3,0,0,3,0,0,1,1,3,3,1
,[L L1 L2],0
,,,3.55071474399e-47,"[L (L1) (L2)]",0,2,0,1,2,1,0,1,1,3,1,1
,,,2.25353549627e-26,"[(L L1) (L2)]",0,2,0,0,1,0,0,0,1,2,1,1
,[L1 L L2],0
,,,1.25585231751e-23,"[(L1) (L L2)]",0,2,0,0,1,0,0,0,2,1,2,1
,,,8.15515626604e-12,"[(L1 L) (L2)]",0,1,1,0,1,0,0,0,1,2,1,1
,,,9.20637889668e-34,"[(L1) L (L2)]",0,2,0,1,2,0,0,0,2,2,2,1
,[L L L1],0
,,,4.55234032581e-22,"[L (L L1)]",0,1,0,1,0,1,0,1,0,1,0,1
,,,2.13162395358e-35,"[L L (L1)]",0,1,0,2,1,1,0,2,0,2,0,1
,[L2 L1 L],0
,,,6.00867909473e-12,"[(L2) (L1 L)]",0,1,1,0,1,0,0,1,0,1,2,1
,,,2.56131889063e-42,"[(L2) (L1) L]",0,2,0,1,2,0,1,1,1,1,3,0
,[L L1 L],0
,,,1.6474134441e-07,"[L (L1 L)]",0,0,1,1,0,1,0,1,0,1,0,1
,,,7.02242723989e-38,"[L (L1) L]",0,1,0,2,1,1,1,1,1,1,1,0
,,,4.45693056077e-17,"[(L L1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[L2 L2 L1],0
,,,1.19012139814e-54,"[(L2) (L2) (L1)]",0,3,0,0,3,0,0,2,0,3,3,1
,[L1 L L],1
,,,1.82079188575e-24,"[(L1) L L]",0,1,0,2,1,0,1,0,2,0,2,0
,,,0.0161288629578,"[(L1 L) L]",0,0,1,1,0,0,1,0,1,0,1,0
,[L2 L L1],0
,,,4.78692871084e-18,"[(L2 L) (L1)]",0,1,1,0,1,0,0,2,0,2,1,1
,,,1.66039388872e-26,"[(L2) (L L1)]",0,2,0,0,1,0,0,1,0,1,2,1
,,,7.7747600844e-40,"[(L2) L (L1)]",0,2,0,1,2,0,0,2,0,2,2,1
,[L1 L2 L],0
,,,2.78717717495e-39,"[(L1) (L2) L]",0,2,0,1,2,0,1,0,2,1,3,0
,,,4.54471292479e-09,"[(L1) (L2 L)]",0,1,1,0,1,0,0,0,2,1,2,1
,[L L2 L1],0
,,,3.26298336207e-50,"[L (L2) (L1)]",0,2,0,1,2,1,0,2,0,3,1,1
