UR,SR,p(SR)_TD,p(SR)_LE,p(HR)_normed,p(HR)_absolute,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,,,0.0,3.54473848717452,37.92784001539458,47.556338048381384,65.82616111595982,4.213874509554363,21.211593107274354,17.771328732217427,1.5919817591381062,0.0,10.675185722038249,0.0,
"[L L]"
,[L L1],1,0.9999999999999989
,,,,1.623879566670854e-59,2.6191605914046025e-61,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,,0.9999999999999989,0.016129032258064495,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0,8.52115182321054e-72
,,,,8.52115182321054e-72,1.3743793263242803e-73,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],0,1.1684462405309633e-15
,,,,1.6556376122397023e-64,2.670383245547906e-66,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,,1.1684462405309633e-15,1.8845907105338113e-17,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0,9.05939956194289e-65
,,,,9.05939956194289e-65,1.4611934777327237e-66,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0,3.299414212507109e-43
,,,,3.299414212507109e-43,5.321635826624368e-45,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],0,1.1684462405309633e-15
,,,,1.1684462405309633e-15,1.8845907105338113e-17,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,,1.6556376122397023e-64,2.670383245547906e-66,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0,3.507825267241096e-36
,,,,3.507825267241096e-36,5.657782689098541e-38,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],1,0.9999999999999989
,,,,0.9999999999999989,0.016129032258064495,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,,6.287707850809258e-31,1.0141464275498802e-32,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],1,0.9999999999999989
,,,,1.623879566670854e-59,2.6191605914046025e-61,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,,0.9999999999999989,0.016129032258064495,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],0,1.1684462405309633e-15
,,,,1.1684462405309633e-15,1.8845907105338113e-17,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,,6.410675906167566e-36,1.0339799848657362e-37,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0,3.299414212507109e-43
,,,,3.299414212507109e-43,5.321635826624368e-45,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0,3.507825267241096e-36
,,,,3.507825267241096e-36,5.657782689098541e-38,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],0,1.2775423901547716e-14
,,,,1.2775423901547716e-14,2.060552242185115e-16,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],0,1.3582397321224035e-07
,,,,1.3582397321224035e-07,2.1907092453587148e-09,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],1,0.9999998641760129
,,,,6.287706996787715e-31,1.01414628980447e-32,"[H (H1)]",1,1,0,1,0,1,0,1,0,1,0,1
,,,,0.9999998641760129,0.016129030067355044,"[(H H1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 H],0,1.1684460818279374e-15
,,,,1.1684460818279374e-15,1.884590454561189e-17,"[(H1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,,6.41067503544401e-36,1.0339798444264532e-37,"[(H1) H]",1,1,0,1,0,0,1,0,1,0,1,0
"[L L L]"
,[L2 L1 L2],0,1.0986586961550924e-81
,,,,1.0986586961550924e-81,1.7720301550888583e-83,"[(L2) (L1) (L2)]",0,3,0,0,3,0,0,1,1,3,3,1
,[L L1 L2],0,5.578773723756668e-06
,,,,9.059256657089185e-65,1.4611704285627713e-66,"[L (L1) (L2)]",0,2,0,1,2,1,0,1,1,3,1,1
,,,,5.578773723756668e-06,8.998022135091397e-08,"[(L L1) (L2)]",0,2,0,0,1,0,0,0,1,2,1,1
,[L1 L L2],0,2.6240711177522787e-11
,,,,2.624071117100429e-11,4.23237276951682e-13,"[(L1) (L L2)]",0,2,0,0,1,0,0,0,2,1,2,1
,,,,6.518497184296453e-21,1.0513705135962019e-22,"[(L1 L) (L2)]",0,1,1,0,1,0,0,0,1,2,1,1
,,,,1.5051572317012444e-60,2.427672954356845e-62,"[(L1) L (L2)]",0,2,0,1,2,0,0,0,2,2,2,1
,[L L L1],1,0.9999842257918907
,,,,0.9999842257918907,0.016128777835353072,"[L (L L1)]",0,1,0,1,0,1,0,1,0,1,0,1
,,,,1.0980178829225911e-57,1.7709965853590175e-59,"[L L (L1)]",0,1,0,2,1,1,0,2,0,2,0,1
,[L2 L1 L],0,1.4170074013975168e-32
,,,,1.4170074013975168e-32,2.2854958087056715e-34,"[(L2) (L1 L)]",0,1,1,0,1,0,0,1,0,1,2,1
,,,,2.00783798962776e-81,3.238448370367354e-83,"[(L2) (L1) L]",0,2,0,1,2,0,1,1,1,1,3,0
,[L L1 L],0,1.0195408145022677e-05
